year,name,main_ts,main_hour,main_heat,valley,second_ts,second_hour,second_heat,gap_min,ratio
2024,因为高反室友把我一个人丢在了丽江,2024-01-13 17:48:11,17,1034225,196015,2024-01-13 20:18:09,20,404984,150,0.392
2024,男子举报妻子和国企领导发生关系致流产,2024-01-13 17:46:11,17,1455461,368393,2024-01-13 19:54:06,19,556355,128,0.382
2024,朝军8个炮兵旅团转为射击待命,2024-10-13 23:14:03,23,653141,132233,2024-10-14 01:54:03,1,235344,160,0.360
2025,海军最新招飞大片看燃了,2025-09-15 17:40:06,17,669593,105167,2025-09-16 00:00:09,0,667443,380,0.997
2025,檀健次吻戏把人看红温了,2025-03-13 00:52:12,0,228074,30673,2025-03-13 11:02:10,11,200836,610,0.881
2025,中国机遇是因为中国的确定性,2025-11-04 22:50:05,22,498507,30725,2025-11-05 10:12:04,10,437651,682,0.878
2025,骄阳似我,2026-01-02 22:12:03,22,858042,29724,2026-01-03 21:12:04,21,695614,1380,0.811
2025,曝光12亿贪腐案印度记者惨死化粪池,2025-02-16 21:34:11,21,332249,162391,2025-02-17 00:06:04,0,268200,152,0.807
2025,新疆70年,2025-09-12 21:54:03,21,1218167,96206,2025-09-16 13:20:05,13,938194,5246,0.770
2025,丈夫用甲醛泡发毛肚妻子售卖双双获刑,2025-11-24 00:54:03,0,143167,24536,2025-11-24 10:20:05,10,110035,566,0.769
2025,唐探1900中国影史票房TOP20,2025-02-17 00:02:05,0,177545,18425,2025-02-17 09:32:07,9,133163,570,0.750
2025,这26秒科技感直接拉满,2025-11-21 18:42:04,18,1025427,25056,2025-11-24 11:54:04,11,763306,3912,0.744
2025,每天睡够8小时白天为何还犯困,2025-02-17 00:06:04,0,272940,18732,2025-02-17 12:32:07,12,202712,746,0.743
2025,史上最相似夫妻称刚认识时并不像,2025-11-04 23:54:03,23,158619,17508,2025-11-05 09:42:04,9,114489,588,0.722
2025,气血不足的人节后要多睡觉,2025-05-06 17:50:05,17,267254,119694,2025-05-06 22:42:04,22,190178,292,0.712
2025,全红婵打乒乓球绝杀王宗源,2025-04-24 23:54:02,23,126953,14159,2025-04-25 07:54:03,7,84418,480,0.665
2025,老人女厕趴地上偷窥女子录下全过程,2025-01-12 21:24:04,21,464596,32024,2025-01-13 09:58:05,9,296914,754,0.639
2025,男子给同事发不雅视频被开除起诉公司,2025-12-13 01:54:04,1,82009,16444,2025-12-13 07:42:03,7,49989,348,0.610
