词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
原来史努比是这么来的,102215,401831,332046,363341,281603,288674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鼠年AirPods壳,100637,458068,588542,826359,703620,639163,527481,476416,402249,439978,231758,264158,250690,225563,236130,191467,107980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
私用救护车接机多人被处分,172124,326558,312666,242834,186002,144566,108321,82473,57764,48293,37992,30651,26236,25265,30431,50844,127770,174873,193784,156115,120142,94413,68653,,,,,,,,,,,,,,,,,,,,,,,,,,
明星与厕所的恩怨情仇,158729,296630,873783,189736,384757,236436,150606,73733,73247,48680,38036,30040,43550,47080,63207,90582,173007,354372,330278,249032,167829,136455,157965,177693,159738,157083,141961,157002,,,,,,,,,,,,,,,,,,,,,
石原里美 东京电影节,81264,1011543,1042694,388111,620346,508419,329275,334683,202609,218028,248002,245120,201699,153969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男人有多爱聊天,169853,170903,226571,274566,302293,330208,378521,372509,239574,160261,164791,163485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地震时幼儿园老师抓起娃就跑,165860,2242694,1788867,1529616,2007285,1811620,1287761,972214,822752,419802,470572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大鹏给柳岩的信,44593,1943466,2428797,1982829,1430131,1255710,1280503,1062027,917385,330762,542888,390981,309851,252035,196476,163424,147624,140329,137241,129275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不建议女生熬夜的原因,151536,1042461,464870,340902,593480,494222,490120,381355,290621,232724,208634,164286,143380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
从小养狗或降低患精神分裂风险,152944,2288273,2337888,1745597,1767454,1234434,871645,606035,181981,130392,100844,84430,68776,48900,56029,56963,75202,111379,145228,65023,56359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幼师2分钟内殴打4幼童,149844,731125,698268,497968,399393,293376,314493,274765,285748,267058,235519,170366,123023,81920,56692,41266,31907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱婷获全球十佳运动员奖,114568,354421,217532,134852,96316,74844,70698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
找爸妈要生活费要太多了,206187,454440,339021,326103,352418,374578,336081,333504,294329,235651,201232,171560,163673,155628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鲁班大师上线,126597,427416,597116,584544,506386,419627,475397,471670,394569,317656,245185,200959,185487,160691,145643,137548,135496,127951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手撕渣男最爽的一次,148786,632778,517488,466527,402332,343829,325781,312450,302919,298149,318182,347790,321583,232537,232737,179897,122850,86162,60337,43269,33149,23323,21743,21043,20164,24651,37717,65817,105431,122494,120052,,,,,,,,,,,,,,,,,,
拍完艺术照9天后自杀,126174,360128,861029,600125,552898,613968,532969,579792,478022,403798,780967,684817,722217,702019,592840,536914,540302,1431626,1437757,846128,431708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奇葩说第六季没有陈铭,170419,615283,422025,318463,320538,304341,238298,188640,152511,117944,95044,69422,48598,33737,24735,20834,18603,17283,14035,13378,13248,13113,17853,,,,,,,,,,,,,,,,,,,,,,,,,,
邓伦小猪佩奇同款座驾,238985,457316,383833,444634,356697,374182,293911,257213,172186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
何君尧我们挺你,171073,300712,263500,275461,256478,250236,242825,258157,261514,262720,253932,294185,300758,257986,201560,133402,83903,61001,48828,38614,30817,25383,21547,18534,19612,22094,44144,71514,138195,,,,,,,,,,,,,,,,,,,,
别人家学校的选修课,57867,216938,222957,343362,165149,115454,103799,94931,92472,83039,75788,66485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州旺旺涉嫌偷排强碱废水,137178,2676515,1634846,2282667,2016078,720712,548764,576028,463736,727249,538310,412228,255854,97439,126081,43164,26489,19184,13980,14072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小虎队同框,113468,2324563,2381475,2237708,1751941,1693066,1571919,1060199,704346,478732,356558,269011,212787,162241,128284,106515,78357,68939,63958,90263,158085,287796,379950,249315,203239,161470,116416,,,,,,,,,,,,,,,,,,,,,,
二维码之父首谈中国使用超日本,154233,762306,684758,582448,534403,507139,634474,422944,304534,235176,137796,113266,65231,83403,64070,53998,47403,52084,51721,68245,88729,151471,178564,132855,,,,,,,,,,,,,,,,,,,,,,,,,
为时髦加分的帽子,213295,179301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ning和Theshy握手,212019,344309,725658,620555,494322,320097,219847,283359,122997,71300,52775,38220,33585,28331,23603,22028,25198,30430,43130,48456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国电视好演员盛典,205062,209302,224391,409859,377776,387203,379306,353943,335623,325933,365463,301082,300127,313593,577024,574830,533230,508264,1150162,876330,560000,331361,46868,32945,27532,21027,18795,15714,13218,10979,11834,9891,,,,,,,,,,,,,,,,,
杨超越致歉,195002,4726830,4758818,4361150,4131304,3706068,3084443,2324697,1622134,1099534,717137,524607,391428,294120,225577,186722,157977,152273,178971,273062,457900,748717,534896,261093,177629,145144,143536,128705,117322,114373,111424,108475,105527,102578,99629,96681,93732,90783,87835,84886,81937,78988,76040,73091,70142,67194,64245,61296,58348
蔡徐坤甩麦架,46155,133222,183378,187888,189542,153280,113066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自拍多了可能会生病,185142,266032,309632,251112,198201,275442,202631,147728,112664,56582,74746,60686,50928,52602,54537,58003,101267,123207,195587,243634,259999,899010,941999,185648,111671,,,,,,,,,,,,,,,,,,,,,,,,
2020年新年贺词,201691,1324587,862555,779060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界杯张本智和胜马龙,139714,236347,218874,197347,118986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美版咒怨新预告,98200,228006,282112,281995,236219,195692,211377,219898,198578,167331,136435,114601,96454,91454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漠河冻梨变铁锤,133907,295205,1101846,1897899,1464842,630866,636281,2146660,612254,800642,572371,229392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高以翔追悼会,138862,243457,1971915,3135043,3073616,3013360,2740989,2615653,1639722,261818,302388,240830,235323,244020,257911,250170,207449,185938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如何走到互删好友这一步的,146427,317447,626334,651497,509455,547042,485850,356101,254007,167133,107307,76140,61005,52645,43635,34346,27348,23094,23114,26942,40261,72613,110898,,,,,,,,,,,,,,,,,,,,,,,,,,
这是一位上了发条的女人,126923,484328,388854,451785,355350,307032,309194,283806,261553,193394,147284,111176,74696,56841,43140,32610,23031,22245,19866,18253,16542,17711,23064,47482,58618,63868,,,,,,,,,,,,,,,,,,,,,,,
露对了才时髦,325170,531721,389980,290187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周杰伦新歌我是如此相信,1003934,1695938,1916385,2076374,2461127,1912433,1559000,1226532,361312,280074,197814,254032,188332,192392,175920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩国总统文在寅母亲去世,73128,1178386,1727746,1325389,805164,607022,453112,548271,433874,174310,160113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男孩打错电话拨给柬埔寨首相,149007,693758,1210185,1585236,1588935,1593693,1602863,1538670,1378909,1367001,1371823,846569,443727,247713,146089,101750,73806,61682,55524,48709,38932,37375,46174,71547,106812,88660,72398,55736,53289,67758,94506,106968,,,,,,,,,,,,,,,,,
小北 帽衫,124608,1088063,985685,818175,746143,544975,577865,486002,350237,238738,180831,192048,181011,145403,122382,89604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实拍漠河震撼取冰现场,151740,219589,310558,293532,269349,206368,151727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一滴血测癌明年启动试验,175791,801665,659389,569176,686890,672461,553736,205948,156886,144166,124502,104183,83863,63543,43223,34408,34186,27512,22265,18824,14722,11363,,,,,,,,,,,,,,,,,,,,,,,,,,,
5G套餐资费,134705,271086,485115,836643,1843992,519844,480481,306412,245592,169889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侵华日军相册发现南京大屠杀原版照片,89728,1058810,1058130,831777,637156,473595,443863,370099,322419,375162,217205,153094,127541,117410,97594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林坠江大客车事发监控,174277,752474,714024,742824,633794,738726,462529,711120,414180,281924,177343,181095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9家电商平台下架电子烟,84100,522984,605257,331778,319705,128350,109369,90973,78112,58461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被男友演唱会求婚当场晕倒,162900,353480,407133,322565,161179,113281,88228,66918,44528,33379,29220,25698,21307,19911,25928,54611,109094,281387,462266,318155,267073,255059,251001,222798,178710,140652,127246,126192,,,,,,,,,,,,,,,,,,,,,
你室友做过哪些沙雕的事,91682,251159,298727,242701,165541,129385,113859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暧昧久了会怎样,42184,471449,476858,442227,359644,306653,295933,288616,265378,262138,307750,309959,242309,182864,164366,129661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
易烊千玺演唱会主视觉海报,106776,289147,305783,317233,256720,264060,280171,324057,278478,247004,207699,188985,175116,153245,94003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄执中 强,54338,171390,355971,185626,261087,239660,168783,172241,118955,122426,101242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
没胡子的白宇,126539,357425,1039849,287545,407029,226550,300536,252118,265709,181689,166175,125124,92982,64149,42206,33361,21513,17913,16993,13930,11955,17658,19300,30582,60736,111772,196624,170668,382663,383055,1117885,396986,595327,201567,281136,121488,95707,70761,54188,45521,,,,,,,,,
那些初中退学的人怎么样了,22150,360217,359367,696759,594290,482413,487842,423147,348699,289994,233611,231173,229880,187568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喇叭没电的油饼摊,136907,190379,327321,419635,332755,269078,202647,191549,176468,158430,129323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王珞丹玫瑰金短发,144158,425392,469789,887978,777707,702784,474095,476432,329444,318091,288636,275906,271719,263967,228499,183217,132588,87705,59192,43600,28223,20335,17111,15517,14276,13481,14627,16338,28658,60397,90642,125591,124939,101380,,,,,,,,,,,,,,,
用130年祖传LV行李箱装鸡饲料,197378,1388330,1114408,966840,938349,1241345,2880915,2938898,2555478,1847863,1445733,1848555,2513099,2336761,1631595,418272,256029,168408,116745,95795,76969,66138,34919,37440,44807,74850,143923,190169,231471,,,,,,,,,,,,,,,,,,,,
鹤唳华亭加更,162078,156978,151903,189581,129760,98592,71112,48942,36939,30840,25990,23526,40350,20081,25061,19698,70185,112091,228727,246453,350863,397369,120360,68335,48000,41728,,,,,,,,,,,,,,,,,,,,,,,
许魏洲外婆是费玉清粉丝,41897,1560767,2166768,2025562,407540,208712,202955,189204,152557,127059,121768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
性格不合该分手吗,100773,208985,257700,295635,212257,170033,168906,144410,125846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法航返航乘客称已写好遗书,98789,718631,593708,474589,277085,299723,292842,264654,217469,177025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王一博的包洗了,134349,2051705,2053704,1955510,2196761,2112210,1689690,480622,184720,452534,458857,348146,202750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江诸暨一民警因公牺牲,174925,218795,167796,132681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明年港澳台居民可在内地参加社保,141256,834945,895199,718850,472989,424521,383277,827319,552201,192713,178130,144400,135965,131758,124134,94619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
是否应降低未成年人刑事责任年龄,119631,131199,182243,190973,143168,111054,110988,96695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微软手机操作系统停更,101602,155245,123400,92048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
免疫系统太刚了,111747,278197,354480,357390,300802,272332,245852,234863,222394,187638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冰雪奇缘,260309,231099,145296,109557,226467,265004,120334,150409,114668,56276,45848,81798,89208,107393,100593,199254,347159,491099,164849,143360,138470,133581,128691,123801,118911,114021,109131,104242,99352,94462,89572,87880,88978,90077,91176,92275,93373,94472,95571,96670,97768,98867,99966,101065,102164,103262,104361,105460,106559
三得利召回170万瓶奶茶,117965,215969,563723,542913,690408,435548,425304,442897,333474,327451,261625,324571,1118186,308058,263771,124737,85083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年春节档阵容,109642,476188,480639,433437,357267,302161,318024,271611,202879,171975,147412,145151,154675,135591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以色列关闭所有驻外使领馆,114257,706603,842643,1707919,332257,367145,360534,320741,282214,328402,298393,295040,348036,293391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北言北语,116315,718247,825705,740475,908593,289519,249986,196758,178607,133356,98980,80808,73879,46838,34134,25283,21640,19403,18597,17385,23509,39543,53482,71038,,,,,,,,,,,,,,,,,,,,,,,,,
黑五网购破纪录,97014,427288,417860,410431,451110,408443,364316,288185,243164,200944,109121,85856,58087,45690,57488,47021,37543,32277,21125,27903,41714,77069,125457,188610,161285,140507,125862,109054,,,,,,,,,,,,,,,,,,,,,
晚安公主,159855,1320242,2266389,1306514,965593,642603,800232,540594,374958,268074,210879,158756,159400,110359,125517,159796,280373,439552,749320,1171163,285000,207915,171677,,,,,,,,,,,,,,,,,,,,,,,,,,
宿管阿姨纸箱换零食,94407,517833,541316,484239,361180,275918,224889,186870,164130,152467,165165,173220,159815,151391,134937,132088,111356,104285,91837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搏击女选手遭家暴不忍报警,165521,481908,477197,408574,341128,305916,247969,196637,188488,186201,168047,142237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐峥斥责追我吧节目组,173633,9519037,10980421,10338873,7967549,6857214,5173452,3180692,2151528,1844971,1755020,1670343,683184,946086,660006,708203,339489,223606,150748,106523,72629,59625,48005,41177,36048,33538,42068,66136,105438,143747,170225,188097,142155,137646,123913,115487,111329,,,,,,,,,,,,
梁朝伟封面,154322,257551,235459,230338,222733,181923,109261,181487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一场雪激发了多少创造力,96223,423202,380090,324030,254805,265568,252957,266621,246920,224814,161335,116250,93805,72872,54079,42564,33892,24806,20386,16641,16401,14310,18533,34336,55633,59252,,,,,,,,,,,,,,,,,,,,,,,
双子座流星雨直播,137007,226539,854646,543787,673828,767487,849871,924620,816062,625851,423023,295817,204031,147105,107080,84825,73124,70291,71118,91902,132253,219346,285851,440471,519258,490352,434985,299064,125785,,,,,,,,,,,,,,,,,,,,
在美失联女老师找到了,111586,999074,956536,825071,736708,697524,2590438,2479461,877925,629294,488537,699474,531418,472553,88054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武磊头球,55680,296941,347035,310622,244142,143227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳绝杀新疆,157365,1113859,1244344,996747,894053,704440,500329,295260,195378,149824,129503,111017,91493,77261,67993,70992,93561,126459,233357,319352,1113466,1240845,157073,,,,,,,,,,,,,,,,,,,,,,,,,,
美国加州进入紧急状态,148132,451021,469328,407878,370033,350962,250362,292491,299558,259433,341116,172419,191434,407580,377825,275687,213477,144263,92210,62761,48852,34693,28897,25419,22690,20386,22577,26852,53987,103700,,,,,,,,,,,,,,,,,,,
章泽天杨天真合影,26022,1421397,1684712,1906160,1672312,1487144,450449,586278,402429,221452,241988,281738,271882,229591,189885,197934,169789,164977,132018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川眉山挖出古墓,169390,334578,549450,540688,499534,398818,168878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
若风回应换人,252657,2036309,1939706,1687402,1164812,2621779,711740,598363,529386,1327074,1263048,687513,829898,787038,613739,147147,102644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度将中国领土划入所谓直辖区,190691,1422988,1667421,1462069,1498036,1485810,1366078,1016718,864392,723196,560940,563889,516751,543120,754834,650591,440501,273135,179245,148187,102102,78757,67264,62807,62091,65028,103711,165773,119529,,,,,,,,,,,,,,,,,,,,
颜值高但从未谈过恋爱,22142,274781,317590,398833,402119,387575,359457,330776,284324,272288,237476,196945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短发女孩怎么穿,200963,211559,210600,217694,178484,121873,166375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郑爽张恒,117365,244195,264091,253002,257397,289104,284498,197767,129938,491494,490145,488796,487446,486097,484748,483399,482050,480701,479351,478002,476653,475304,473955,472605,471256,469907,468558,467209,465859,464510,463161,461812,460463,459113,457764,456415,455066,453717,452368,451018,449669,448320,446971,445622,444272,442923,441574,440225,438876
年龄大就要接受相亲吗,76138,97603,387597,337336,323775,233816,163969,115421,114629,112773,133694,150381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如何应对男生的撩,153454,244285,319624,309266,297435,226298,174129,148674,136045,128671,118123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丛明晨腰椎横突骨折,128931,150733,168487,189746,131065,107196,86177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秦俊杰吃纸配音,139773,338169,387562,317587,280809,167737,126586,88465,61332,51964,46928,35638,33957,32849,33680,51191,98878,113136,138504,132281,130122,121129,74037,,,,,,,,,,,,,,,,,,,,,,,,,,
原著融梗电影连坐冤不冤,171110,185653,857934,635191,750321,707327,632380,554753,490945,481610,264781,141044,96269,70999,52116,37294,31683,24754,19995,16317,15418,14168,15583,22504,38983,,,,,,,,,,,,,,,,,,,,,,,,
峨眉金顶雪景,137834,385023,295934,412077,1023494,338811,481216,235967,169386,148459,131547,122003,68233,45571,31725,25899,21721,16580,13437,12228,11283,11879,11887,12963,12273,15968,25858,46103,69618,77965,81488,70321,60389,55188,49732,44978,,,,,,,,,,,,,
因为一个综艺又相信爱情了,153708,869214,635614,515882,442656,285791,437545,541909,526129,507043,709038,610300,281542,281409,161467,101513,62856,39815,30333,29504,27170,23284,26235,34689,71795,150948,190661,254198,257626,195497,149877,123059,117344,108041,,,,,,,,,,,,,,,
港警新一哥在央视发声,137588,1106782,1098786,985074,749016,579611,440774,588518,788542,747422,590568,237564,131121,294334,280617,300281,285039,271301,278575,281718,218941,307625,283961,258734,227934,180752,113958,82057,163298,130922,92570,64071,49105,39452,40731,38070,70943,113447,226943,329819,1294286,1318546,651763,667678,561648,571682,612556,571368,666532
怎么看待客户骂客服的现象,113421,268838,614093,396698,283086,175669,117636,96292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈伟霆悼念高以翔,248030,4178685,4477184,3881172,3471367,2909745,2392004,1364464,359815,258892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
误杀小女孩演技,533465,1620049,1623763,1367126,1199252,424393,760222,787922,719553,668603,548840,1222376,657244,336256,356087,314663,578603,571358,173155,134589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婚礼失控现场,118614,308721,357306,1192565,943381,678897,520480,247358,302982,240086,187913,156466,134822,127984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下雪后要做的第一件事,125624,252209,237781,221751,176302,162327,152656,138456,128609,127489,88959,84660,79207,62584,53970,47610,41249,34889,28528,22168,15807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夜猫子可能是遗传病,258983,253012,146167,142297,138428,81027,69310,101983,81402,235984,196592,122263,102082,82223,67051,35924,32923,42558,71348,143911,131380,103305,,,,,,,,,,,,,,,,,,,,,,,,,,,
穿长棉袄怎么上台阶,11611,87755,114307,365114,308476,300250,269105,236149,177096,136939,120734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国队8天狂揽200枚奖牌,99866,209912,162501,126009,99730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘宪华街头表演,93736,217698,352862,454539,288506,205271,209237,293591,295058,215971,237533,222170,184833,158333,148211,121699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019年爆笑新闻,96109,366809,423555,789422,758559,629871,365491,454978,158635,121935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
政法公务员辞职运毒被判死缓,163140,407912,451221,473239,417619,294347,236166,188841,151419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孩子裤子里塞了一条秋裤,165551,2442780,1884269,1764648,1178977,940884,746278,454301,313060,232722,172724,155069,116621,97290,70670,63100,64413,58089,118215,122902,221258,231302,288650,164241,116871,,,,,,,,,,,,,,,,,,,,,,,,
老奶奶深深鞠躬致谢礼让车主,113080,189137,213104,217573,212987,221635,250833,249666,255616,249828,237024,321421,303456,265456,227114,194094,117582,84784,63997,53217,41748,33340,30624,24247,20359,21083,28792,52136,127997,167907,230410,240486,244501,218065,206912,,,,,,,,,,,,,,
长春长生宣告破产,104307,2149162,2846657,2134416,1176916,908578,762644,540197,380024,263563,183002,137131,106691,81256,60001,40530,39134,38160,44825,88484,173990,456552,518849,236392,187153,136003,95295,77217,66536,57566,,,,,,,,,,,,,,,,,,,
高云翔案受害者首度视讯出庭,101868,879703,965938,1197934,718909,342584,261831,316034,165608,132368,104864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时速600公里磁悬浮真车首亮相,114567,226049,179232,196856,193930,226314,233631,206705,220427,228917,278416,292547,386221,342235,269177,214236,173713,114455,82563,54467,42098,33354,28181,24946,24439,21732,25525,34418,59774,104706,155182,182679,,,,,,,,,,,,,,,,,
中国雾凇之都今冬首现雾凇,179992,193081,113923,150150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英国警马不喝奶茶不开工,145496,623822,356575,240093,287435,690159,524348,436781,490619,530598,171238,107655,86277,88183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一起出发吧,141635,301979,325522,245925,164427,145863,137934,130005,122076,114147,106218,98289,90360,82431,74502,66573,58644,50715,42785,34856,26927,18998,11069,10795,11698,12601,13504,14408,15311,16214,17117,18020,18924,19827,20730,21633,22537,23440,24343,25246,26149,27053,27956,28859,29762,30665,31569,32472,33375
最想和考研同学说的话,119475,463554,320592,390788,291125,245701,199112,154285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少年的你结局,129429,3698659,4218173,3611102,3293034,2688023,2196387,1989713,2776421,826306,683001,632628,602600,540206,534029,742736,750714,659884,506581,374437,234685,75831,59148,46441,32912,28540,24966,19729,17688,15953,21987,36566,,,,,,,,,,,,,,,,,
原来品如才是第三者,173701,1167782,1343459,1263974,977117,952229,815592,936152,879041,686260,598752,349384,302219,354412,351359,351044,351017,323015,322477,322635,324694,322975,325987,298984,291229,268696,343815,287680,267468,228720,210334,178440,137371,123870,,,,,,,,,,,,,,,
周震南蛙鸡包,103776,268551,245852,201957,218923,177657,165825,200562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郭艾伦蛇皮走位一条龙,158485,320593,371774,297184,196852,141853,102394,60218,38205,29053,25510,25665,25608,26393,33384,58205,113854,148917,169988,153945,120861,79243,97938,116634,,,,,,,,,,,,,,,,,,,,,,,,,
法国小镇颁行死亡禁令,109198,719710,684262,578219,414847,869316,335729,164043,104283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老人花8年20万造木头跑车,172041,455857,526031,434912,255954,167887,156235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke将离开iG,97807,690485,608836,557966,453272,365065,324639,297410,252819,214391,181041,145628,105629,71323,46408,33947,24837,17810,14693,13002,11936,12014,11698,15829,26009,40208,,,,,,,,,,,,,,,,,,,,,,,
爸爸为4岁单眼女儿扮艾莎,172666,296499,516538,892298,487808,510900,411287,322372,230601,126971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
易烊千玺和小北的共鸣,135164,446390,629650,635162,479084,396494,284486,205068,200847,180770,166485,164059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沙滩捡12块石头价值近百万,89368,189385,217789,259498,206170,199052,197755,181334,151285,132141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游客云南遭天价运尸费达成调解,127705,201151,879220,469614,1057738,669716,587523,646008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
易烊千玺人形立牌,88888,170346,207619,235328,219160,264810,236898,175786,160597,156883,187226,231130,196840,140294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019年最后一天,143775,1303821,2158836,2418711,2746913,2575624,1814621,1474022,1110144,956269,797891,718467,1069457,527336,497250,608243,521350,506530,326232,435517,274866,221877,195577,172115,144358,143031,141705,140379,139052,137726,136400,135073,133747,132420,131094,90773,99879,,,,,,,,,,,,
易烊千玺经历了什么,64790,1394156,1923247,2769593,3085297,2946336,2781781,2581153,2345121,2165646,2035481,1536773,908716,375445,368625,348805,270640,223263,208569,184996,140472,133323,109846,106595,,,,,,,,,,,,,,,,,,,,,,,,,
台州一网约车司机车内死亡,118922,299451,272961,355215,296335,259045,222653,186941,166721,150369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外交部回应美成立太空部队,173873,763670,722756,338717,332631,357718,393364,465003,393982,348384,286472,209745,142545,95908,70938,52567,43248,36601,30544,29290,23618,26974,35035,62315,134159,181365,217702,333156,,,,,,,,,,,,,,,,,,,,,
禁蒙面法暂时有效至本月29日,206156,1865477,1617003,1195479,1012064,1018221,1060186,927324,868106,982205,453648,385669,368542,361462,372426,355540,351525,352673,352749,350902,350662,352836,353259,309351,258454,453825,595957,536747,606677,485404,402532,175540,183835,262321,,,,,,,,,,,,,,,
在周杰伦演唱会写作业,176711,503595,973443,1062869,986279,536783,388221,360079,410620,376265,280230,223387,161948,126708,97825,71361,57982,46487,34998,63326,54664,20224,18686,27957,47465,73379,112891,114510,,,,,,,,,,,,,,,,,,,,,
