词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
九成感冒不需要吃抗菌药,138456,763416,585360,513734,357508,241603,170688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港特区政府就禁蒙面法违宪上诉,130890,1254389,1067563,1024104,904145,719604,455300,341348,269615,297539,406837,385551,367614,293727,221932,141292,96359,69820,55574,43743,35247,26541,24047,21293,23172,30626,56120,119416,168855,206861,233685,271181,231617,213823,252215,,,,,,,,,,,,,,
浓眉 哈特,197292,317247,264650,175205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴磊认真,44931,169356,605934,248015,227222,221123,194751,162513,135944,120922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交通部谈滴滴顺风车重新上线,142949,676822,625369,401175,230205,172818,128038,83006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度14亿人仍在用现金,157152,624643,667628,563744,371230,226770,149138,97464,68817,50608,43683,41535,40061,38159,39067,52746,88994,113805,136148,146802,140569,142482,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡歌最美表演,124600,330734,403449,302615,243378,225699,199961,181832,164585,154242,146175,148340,142663,125688,75463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈利波特香水,160921,348277,282441,277533,214164,178307,152482,138135,124465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高以翔粉丝的信,136840,1336619,1246768,323965,307480,326554,276878,290790,217982,227918,220204,192843,184076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日说法 宇芽,136479,4931973,5409373,4254966,3228630,2970467,2474742,1382823,2007442,1943950,2192948,2391235,2081005,2351031,2466859,1886383,2036155,1701515,1713553,2713207,2705327,2687691,612388,352897,247605,184681,187173,115176,63961,40866,31319,20101,15825,14259,13219,17817,30805,35567,36324,,,,,,,,,,
王一博之歌,58195,225706,234311,212320,235860,201747,164230,189279,195853,161546,117723,100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港超5800人涉威胁公共安全被捕,107918,2852550,2642490,1180762,984337,1045275,1038444,1083056,712471,799446,904976,702039,829677,536816,500509,454919,1345949,1293938,549815,468243,563784,518569,487981,746740,708210,592272,532091,860109,802035,324460,233337,277857,228591,168821,94646,65599,47990,37257,29749,23863,19459,18246,17817,18510,25477,53430,107771,153010,184560
山东高铁,120424,333704,367495,417916,344836,342922,312604,348196,340429,265889,179842,109859,133156,109634,86520,61648,41631,32787,25601,20648,18256,17014,17890,18432,26578,47658,54826,66043,64915,65873,62054,,,,,,,,,,,,,,,,,,
LOL新英雄厄斐琉斯,110871,381932,300033,289105,324526,299727,287614,257083,171506,118890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甄嬛传cp大赛,196442,191947,216445,185262,140798,97346,74066,49692,35755,27420,23267,20936,20717,23365,40649,70653,153496,125670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
